"accession_name","beta_carot_NIRS_ugg_PF"
"AM1216-3",6.12164495
"AM1228-2",6.46376445
"AM1253-13",10.4869336
"AM1261-13",10.1516719
"AM1352-3",12.1511321
"AM1428-30",12.3313899
"AM1432-2",15.7393055
"AM1432-7",13.15185355
"AM1451-4",9.1912732
"AM900-14",8.873378525
"AM907-110",11.46488045
"AM907-57",8.84890435
"AM922-10",3.3017748
"GM10004-2",11.7099814
"GM10009-3",14.94141345
"GM10010-1",13.88904955
"GM10010-3",11.7092123
"GM10010-8",10.47065925
"GM10015-2",9.42573405
"GM10019-1",10.08104655
"GM10026-1",14.242424
"GM10026-3",11.1007681
"GM10026-4",12.01640415
"GM10034-3",11.0996976
"GM10035-1",14.31895065
"GM1556-4",8.14085074285714
"GM3426-5",5.075056155
"GM3518-1",1.2939856
"GM3518-18",7.32825321785714
"GM3518-19",2.616485075
"GM3518-26",6.7613998
"GM3518-3",9.456396125
"GM3518-32",6.27683975
"GM3518-34",8.66173425
"GM3518-42",7.76725715
"GM3518-48",6.9520123
"GM3518-49",8.28314325
"GM3518-5",8.653748175
"GM3518-54",6.02643602857143
"GM3518-58",9.13863685
"GM3518-66",7.44518413333333
"GM3518-68",7.36109450555556
"GM3518-70",9.965270975
"GM3521-14",10.8795147
"GM3523-25",9.58364839615385
"GM3523-70",7.26289290833333
"GM3523-72",6.2849301
"GM3524-72",7.165420075
"GM3530-14",7.31793476666667
"GM3533-6",7.3597517
"GM3533-72",9.0759833
"GM3551-46",7.59849095
"GM3560-34",5.21294981666667
"GM3587-41",6.2935569
"GM3587-51",8.7255461
"GM3593-70",4.92977405
"GM3594-36",9.399166325
"GM3594-46",9.1156168
"GM3594-65",8.8165883
"GM3594-70",6.8745531625
"GM3609-113",6.6615453
"GM3609-122",6.71738298333333
"GM3609-30",6.05419205
"GM3609-98",7.647521
"GM3621-18",8.10242983333333
"GM3628-1",8.4074717
"GM3633-5",NA
"GM3647-16",4.03656315
"GM3647-23",5.630573875
"GM3648-9",8.70566773636364
"GM3649-109",6.33813
"GM3649-68",6.84705234166667
"GM3650-15",7.20634555
"GM3650-19",7.5739491
"GM3650-41",7.66026805
"GM3650-42",5.4588518
"GM3650-46",5.3217673
"GM3650-49",6.75645325
"GM3650-51",5.59277835
"GM3650-57",5.3974545
"GM3652-21",7.52237155
"GM3658-75",6.1104431
"GM3658-77",7.1387295625
"GM3658-81",7.67021733333333
"GM3666-77",6.64351055714286
"GM3667-32",8.855982525
"GM3667-49",6.1907296
"GM3667-55",5.4507947
"GM3667-85",6.0132219
"GM3674-35",NA
"GM3674-41",10.85070677
"GM3675-20",7.1896217
"GM3675-38",5.36561635
"GM3675-49",5.3953457
"GM3675-52",7.06558644166667
"GM3676-1",3.82258995
"GM3693-2",4.2732909
"GM3695-9",7.97436095
"GM3697-7",NA
"GM3698-1",3.86249425
"GM3699-111",4.71042915
"GM3700-14",7.19516888333333
"GM3727-3",15.1914883
"GM3727-47",9.6912117
"GM3727-56",8.9316745
"GM3732-22",8.3468589
"GM3736-16",9.74549722222222
"GM3736-40",8.03744688
"GM3738-24",9.28240845
"GM3738-25",9.1266232
"GM3738-42",9.0899267
"GM3838-15",NA
"GM4264-2",3.76033415
"GM4276-1",4.0383945
"GM4279-4",5.9024401
"GM4288-5",0.4157908
"GM4292-1",7.1010866
"GM4300-1",3.7118964
