"Date of Download: 2023-07-21_19:02:51"
"Search Parameters: Data Level:all  Trait List:  Trial List:7674,8094,7658,7675,7656,7660,9226,7668,7659,7662,7657,7665,7669,7670,9365,9472,9366,9348,9477,10336,9376,10335,10542,10649,11057,10978,11213,10794,11501  Accession List:  Plot List:  Plant List:  Location List:  Year List:2020,2021,2022  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Cassava anthracnose disease severity|month 5|COMP:0000273","Cassava anthracnose disease severity|month 7|COMP:0000274","Cassava bacterial blight severity|month 5|COMP:0000271","Cassava bacterial blight severity|month 7|COMP:0000272","Change in weight after boiling computation percentage|month 10|boiling time 20 minutes|COMP:0000224","Change in weight after boiling computation percentage|month 10|boiling time 30 minutes|COMP:0000225","Total carotenes ug/g NIRS 400-2500 nm|CO_334:0001051","beta carotene content ug/g NIRS 400-2500 nm|CO_334:0001053","branching level counting|CO_334:0000079","cassava anthractnose disease severity in 3-month|CO_334:0000218","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","dry matter content by table-top NIRS in percentage|CO_334:0002057","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","frog skin disease : visual 1-5|CO_334:0000093","hydrogen cyanide ug/g wet basis|month 10|COMP:0000322","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","lodged plants estimation 1-3|month 6|COMP:0000208","marketable root number counting|CO_334:0000169","marketable root weight measurement in kg|CO_334:0000131","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root flesh color 25% center ring visual rating 1-8|CO_334:0002080","root flesh color 25% outer ring visual rating 1-8|CO_334:0002081","root flesh color 50% inner ring visual rating 1-8|CO_334:0002079","root length evaluation scaled 1-3|CO_334:0000226","root number per plot counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","thrips severity : visual 1-5|at harvesting|COMP:0000282","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","236646","SMB2446-2","Caiseli,Caiselli,CAISELLI","plot","2301528","202039BCPRC_pivi_rep1_Caiselli_1","1","1","1","1","1","test","","","","","","","","","","","","","","","","","","","","4","","1","","","","10","","","","","","","","","","","","","","","","10","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","271094","COSTENA","Costena","plot","2301517","202039BCPRC_pivi_rep1_Costena_5","1","1","5","1","5","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","9","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169480","GM9400-1","","plot","2301504","202039BCPRC_pivi_rep1_GM9400-1_23","1","1","23","2","18","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169483","GM9411-1","","plot","2301506","202039BCPRC_pivi_rep1_GM9411-1_20","1","1","20","1","20","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","1","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169484","GM9418-8","","plot","2301527","202039BCPRC_pivi_rep1_GM9418-8_18","1","1","18","1","18","test","","","","","","","","","","","","","","","","","","","","4","","1","","","","10","","","","","","","","","","","","","","","","3","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169487","GM9458-6","","plot","2301535","202039BCPRC_pivi_rep1_GM9458-6_14","1","1","14","1","14","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","2","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169489","GM9464-1","","plot","2301499","202039BCPRC_pivi_rep1_GM9464-1_21","1","1","21","2","20","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","323773","SM3536-44","","plot","2301532","202039BCPRC_pivi_rep1_SM3536-44_11","1","1","11","1","11","test","","","","","","","","","","","","","","","","","","","","4","","1","","","","10","","","","","","","","","","","","","","","","8","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169810","SM4286-218","","plot","2301551","202039BCPRC_pivi_rep1_SM4286-218_2","1","1","2","1","2","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","5","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169820","SM4289-179","","plot","2301482","202039BCPRC_pivi_rep1_SM4289-179_24","1","1","24","2","17","test","","","","","","","","","","","","","","","","","","","","4","","1","","","","10","","","","","","","","","","","","","","","","4","","","","",""," (Operator: lizbethpino, Time: )"
