year,trial_name,trial_type,plot_width,plot_length,plant_date,harvest_date,location,accession_name,plot_name,cross_year,rep_number,plot_number,check_test,notes,obs_DM_gravity,obs_yield_ha
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,SM3441-150,201326BCEAR_pvar_rep1_SM3441-150_23,2006,1,23,test,TZMRK180001_1-1,20.20394322,3.055555556
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,SM3442-217,201326BCEAR_pvar_rep1_SM3442-217_20,2006,1,20,test,TZMRK180001_1-1,17.16529175,0.972222222
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,SM3441-150,201326BCEAR_pvar_rep2_SM3441-150_45,2006,2,45,test,TZMRK180001_1-1,17.21588983,1.805555556
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,SM3442-217,201326BCEAR_pvar_rep2_SM3442-217_41,2006,2,41,test,TZMRK180001_1-1,17.69600939,2.222222222
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,SM3441-150,201326BCEAR_pvar_rep3_SM3441-150_77,2006,3,77,test,TZMRK180001_1-1,17.29823183,1.666666667
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,SM3442-217,201326BCEAR_pvar_rep3_SM3442-217_95,2006,3,95,test,TZMRK180001_1-1,16.56247216,3.75
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,AM922-10,201326BCEAR_pvar_rep1_AM922-10_24,2007,1,24,test,TZMRK180001_1-1,17.64398682,8.472222222
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3426-5,201326BCEAR_pvar_rep1_GM3426-5_13,2007,1,13,test,TZMRK180001_1-1,20.4794298,7.777777778
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3518-1,201326BCEAR_pvar_rep1_GM3518-1_15,2007,1,15,test,TZMRK180001_1-1,19.9119883,3.888888889
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3518-18,201326BCEAR_pvar_rep1_GM3518-18_8,2007,1,8,test,TZMRK180001_1-1,17.10665722,6.944444444
