"Experiment","rep_number","accession_name","DM_gravity","year","plot_name","location"
"201326BCEAR_pvar","1","AM922-10",17.64398682,"2013","201326BCEAR_pvar_rep1_AM922-10_24","Palmar de Varela"
"201326BCEAR_pvar","1","CG1141-1",29.04189189,"2013","201326BCEAR_pvar_rep1_CG1141-1_26","Palmar de Varela"
"201326BCEAR_pvar","1","CM4919-1",25.59830508,"2013","201326BCEAR_pvar_rep1_CM4919-1_17","Palmar de Varela"
"201326BCEAR_pvar","1","GM3426-5",20.4794298,"2013","201326BCEAR_pvar_rep1_GM3426-5_13","Palmar de Varela"
"201326BCEAR_pvar","1","GM3518-1",19.9119883,"2013","201326BCEAR_pvar_rep1_GM3518-1_15","Palmar de Varela"
"201326BCEAR_pvar","1","GM3518-18",17.10665722,"2013","201326BCEAR_pvar_rep1_GM3518-18_8","Palmar de Varela"
"201326BCEAR_pvar","1","GM3518-19",18.81868132,"2013","201326BCEAR_pvar_rep1_GM3518-19_21","Palmar de Varela"
"201326BCEAR_pvar","1","GM3518-26",20.73171429,"2013","201326BCEAR_pvar_rep1_GM3518-26_28","Palmar de Varela"
"201326BCEAR_pvar","1","GM3518-5",17.56430318,"2013","201326BCEAR_pvar_rep1_GM3518-5_22","Palmar de Varela"
"201326BCEAR_pvar","1","GM3523-25",18.62005076,"2013","201326BCEAR_pvar_rep1_GM3523-25_7","Palmar de Varela"
"201326BCEAR_pvar","1","GM3530-14",16.21,"2013","201326BCEAR_pvar_rep1_GM3530-14_34","Palmar de Varela"
"201326BCEAR_pvar","1","GM3533-6",17.80858586,"2013","201326BCEAR_pvar_rep1_GM3533-6_10","Palmar de Varela"
"201326BCEAR_pvar","1","GM3560-34",18.70446585,"2013","201326BCEAR_pvar_rep1_GM3560-34_2","Palmar de Varela"
"201326BCEAR_pvar","1","GM3609-30",20.20394322,"2013","201326BCEAR_pvar_rep1_GM3609-30_4","Palmar de Varela"
"201326BCEAR_pvar","1","GM3609-98",18.87906746,"2013","201326BCEAR_pvar_rep1_GM3609-98_11","Palmar de Varela"
"201326BCEAR_pvar","1","GM3628-1",22.55921248,"2013","201326BCEAR_pvar_rep1_GM3628-1_5","Palmar de Varela"
"201326BCEAR_pvar","1","GM3633-5",23.98531218,"2013","201326BCEAR_pvar_rep1_GM3633-5_9","Palmar de Varela"
"201326BCEAR_pvar","1","GM3647-16",21.89337017,"2013","201326BCEAR_pvar_rep1_GM3647-16_12","Palmar de Varela"
"201326BCEAR_pvar","1","GM3650-15",18.93080229,"2013","201326BCEAR_pvar_rep1_GM3650-15_30","Palmar de Varela"
"201326BCEAR_pvar","1","GM3650-19",16.21,"2013","201326BCEAR_pvar_rep1_GM3650-19_29","Palmar de Varela"
"201326BCEAR_pvar","1","GM3674-35",16.21,"2013","201326BCEAR_pvar_rep1_GM3674-35_18","Palmar de Varela"
"201326BCEAR_pvar","1","GM3675-20",16.21,"2013","201326BCEAR_pvar_rep1_GM3675-20_19","Palmar de Varela"
"201326BCEAR_pvar","1","GM3675-38",17.33507109,"2013","201326BCEAR_pvar_rep1_GM3675-38_6","Palmar de Varela"
"201326BCEAR_pvar","1","GM3693-2",18.92109208,"2013","201326BCEAR_pvar_rep1_GM3693-2_25","Palmar de Varela"
"201326BCEAR_pvar","1","GM3695-9",16.94381762,"2013","201326BCEAR_pvar_rep1_GM3695-9_3","Palmar de Varela"
"201326BCEAR_pvar","1","GM3697-7",18.76542316,"2013","201326BCEAR_pvar_rep1_GM3697-7_33","Palmar de Varela"
"201326BCEAR_pvar","1","SM3441-150",20.20394322,"2013","201326BCEAR_pvar_rep1_SM3441-150_23","Palmar de Varela"
"201326BCEAR_pvar","1","SM3442-217",17.16529175,"2013","201326BCEAR_pvar_rep1_SM3442-217_20","Palmar de Varela"
"201326BCEAR_pvar","1","SM3511-6",17.67150396,"2013","201326BCEAR_pvar_rep1_SM3511-6_1","Palmar de Varela"
"201326BCEAR_pvar","1","SM3536-44",19.05432463,"2013","201326BCEAR_pvar_rep1_SM3536-44_16","Palmar de Varela"
"201326BCEAR_pvar","1","SMB2446-2",31.38561644,"2013","201326BCEAR_pvar_rep1_SMB2446-2_27","Palmar de Varela"
"201326BCEAR_pvar","1","TAI8",24.35981397,"2013","201326BCEAR_pvar_rep1_TAI8_14","Palmar de Varela"
"201326BCEAR_pvar","2","AM922-10",18.45709939,"2013","201326BCEAR_pvar_rep2_AM922-10_37","Palmar de Varela"
"201326BCEAR_pvar","2","CG1141-1",28.03060183,"2013","201326BCEAR_pvar_rep2_CG1141-1_63","Palmar de Varela"
"201326BCEAR_pvar","2","CM4919-1",26.2187103,"2013","201326BCEAR_pvar_rep2_CM4919-1_46","Palmar de Varela"
