"Experiment","rep_number","accession_name","yield_ha","year","location"
"201326BCEAR_pvar",1,"AM922-10",8.472222222,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"CG1141-1",8.611111111,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"CM4919-1",10.27777778,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3426-5",7.777777778,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3518-1",3.888888889,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3518-18",6.944444444,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3518-19",3.194444444,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3518-26",7.777777778,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3518-5",7.777777778,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3523-25",1.666666667,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3530-14",10,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3533-6",6.25,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3560-34",4.722222222,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3609-30",0.555555556,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3609-98",0.555555556,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3628-1",6.944444444,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3633-5",3.333333333,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3647-16",0.972222222,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3650-15",3.333333333,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3650-19",3.055555556,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3674-35",1.111111111,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3675-20",2.777777778,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3675-38",0.694444444,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3693-2",5.972222222,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3695-9",2.083333333,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"GM3697-7",6.805555556,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"SM3441-150",3.055555556,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"SM3442-217",0.972222222,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"SM3511-6",9.861111111,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"SM3536-44",5.555555556,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"SMB2446-2",9.166666667,"2013","Palmar de Varela"
"201326BCEAR_pvar",1,"TAI8",18.75,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"AM922-10",7.638888889,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"CG1141-1",10.83333333,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"CM4919-1",9.444444444,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3426-5",11.94444444,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3518-1",5.138888889,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3518-18",3.194444444,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3518-19",5.138888889,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3518-26",5.277777778,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3518-5",5.416666667,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3530-14",11.38888889,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3533-6",5.972222222,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3560-34",4.027777778,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3609-30",2.222222222,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3609-98",0.972222222,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3628-1",3.333333333,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3633-5",4.444444444,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3647-16",3.888888889,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3650-15",2.777777778,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3650-19",2.5,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3674-35",2.361111111,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3675-20",2.083333333,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3676-1",2.5,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3693-2",9.166666667,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3695-9",2.083333333,"2013","Palmar de Varela"
"201326BCEAR_pvar",2,"GM3697-7",5.972222222,"2013","Palmar de Varela"
