"Experiment","rep_number","accession_name","yield_ha","year","plot_name","location"
"201326BCEAR_pvar","1","AM922-10",8.472222222,"2013","201326BCEAR_pvar_rep1_AM922-10_24","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","CG1141-1",8.611111111,"2013","201326BCEAR_pvar_rep1_CG1141-1_26","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","CM4919-1",10.27777778,"2013","201326BCEAR_pvar_rep1_CM4919-1_17","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3426-5",7.777777778,"2013","201326BCEAR_pvar_rep1_GM3426-5_13","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3518-1",3.888888889,"2013","201326BCEAR_pvar_rep1_GM3518-1_15","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3518-18",6.944444444,"2013","201326BCEAR_pvar_rep1_GM3518-18_8","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3518-19",3.194444444,"2013","201326BCEAR_pvar_rep1_GM3518-19_21","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3518-26",7.777777778,"2013","201326BCEAR_pvar_rep1_GM3518-26_28","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3518-5",7.777777778,"2013","201326BCEAR_pvar_rep1_GM3518-5_22","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3523-25",1.666666667,"2013","201326BCEAR_pvar_rep1_GM3523-25_7","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3530-14",10,"2013","201326BCEAR_pvar_rep1_GM3530-14_34","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3533-6",6.25,"2013","201326BCEAR_pvar_rep1_GM3533-6_10","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3560-34",4.722222222,"2013","201326BCEAR_pvar_rep1_GM3560-34_2","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3609-30",0.555555556,"2013","201326BCEAR_pvar_rep1_GM3609-30_4","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3609-98",0.555555556,"2013","201326BCEAR_pvar_rep1_GM3609-98_11","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3628-1",6.944444444,"2013","201326BCEAR_pvar_rep1_GM3628-1_5","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3633-5",3.333333333,"2013","201326BCEAR_pvar_rep1_GM3633-5_9","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3647-16",0.972222222,"2013","201326BCEAR_pvar_rep1_GM3647-16_12","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3650-15",3.333333333,"2013","201326BCEAR_pvar_rep1_GM3650-15_30","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3650-19",3.055555556,"2013","201326BCEAR_pvar_rep1_GM3650-19_29","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3674-35",1.111111111,"2013","201326BCEAR_pvar_rep1_GM3674-35_18","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3675-20",2.777777778,"2013","201326BCEAR_pvar_rep1_GM3675-20_19","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3675-38",0.694444444,"2013","201326BCEAR_pvar_rep1_GM3675-38_6","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3693-2",5.972222222,"2013","201326BCEAR_pvar_rep1_GM3693-2_25","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3695-9",2.083333333,"2013","201326BCEAR_pvar_rep1_GM3695-9_3","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","1","GM3697-7",6.805555556,"2013","201326BCEAR_pvar_rep1_GM3697-7_33","Palmar de Varela. Atlantico, Colombia"
